cntry,country full name,Laborforce_female,Unemployment_female,eqwrkbg,eqpolbg,eqmgmbg,eqpaybg,eqparep,eqparlv,freinsw,fineqpy
AT,Austria,46.79762399,4.797,6,6,6,6,4,4,4,3
AT,Austria,46.79762399,4.797,6,5,5,5,2,4,1,2
AT,Austria,46.79762399,4.797,5,6,6,6,2,8,2,1
AT,Austria,46.79762399,4.797,5,5,5,6,1,8,4,1
AT,Austria,46.79762399,4.797,6,6,6,6,1,5,1,1
AT,Austria,46.79762399,4.797,5,5,5,6,2,3,2,1
AT,Austria,46.79762399,4.797,4,6,5,6,2,8,2,8
AT,Austria,46.79762399,4.797,5,6,6,6,2,3,1,2
AT,Austria,46.79762399,4.797,6,3,2,6,4,5,2,3
AT,Austria,46.79762399,4.797,3,5,6,6,2,2,2,2
AT,Austria,46.79762399,4.797,5,5,5,6,2,7,2,2
AT,Austria,46.79762399,4.797,5,5,5,6,2,2,3,4
AT,Austria,46.79762399,4.797,3,6,6,6,2,5,2,2
AT,Austria,46.79762399,4.797,5,6,6,6,1,2,3,2
AT,Austria,46.79762399,4.797,4,3,4,4,3,2,2,3
AT,Austria,46.79762399,4.797,6,6,6,6,2,1,3,4
AT,Austria,46.79762399,4.797,5,6,6,6,1,1,1,1
AT,Austria,46.79762399,4.797,3,4,5,6,4,4,4,2
AT,Austria,46.79762399,4.797,6,6,6,6,3,2,2,2
AT,Austria,46.79762399,4.797,4,3,8,5,8,4,4,3
AT,Austria,46.79762399,4.797,4,4,4,6,4,4,3,2
AT,Austria,46.79762399,4.797,2,4,4,6,4,4,4,3
AT,Austria,46.79762399,4.797,3,3,3,3,3,4,3,3
AT,Austria,46.79762399,4.797,2,1,2,2,5,4,4,3
AT,Austria,46.79762399,4.797,6,6,6,6,1,2,2,8
AT,Austria,46.79762399,4.797,3,5,6,6,4,5,2,2
AT,Austria,46.79762399,4.797,5,3,3,5,4,5,2,2
AT,Austria,46.79762399,4.797,3,6,6,6,3,4,3,1
AT,Austria,46.79762399,4.797,4,5,5,6,1,2,3,3
AT,Austria,46.79762399,4.797,3,3,3,3,3,5,3,2
AT,Austria,46.79762399,4.797,2,5,5,3,2,4,2,2
AT,Austria,46.79762399,4.797,6,3,3,4,4,2,5,5
AT,Austria,46.79762399,4.797,6,6,6,6,1,4,1,1
AT,Austria,46.79762399,4.797,6,5,8,6,2,1,2,3
AT,Austria,46.79762399,4.797,6,6,6,6,1,1,2,1
AT,Austria,46.79762399,4.797,6,6,6,6,2,4,4,2
AT,Austria,46.79762399,4.797,4,6,6,6,3,3,2,1
AT,Austria,46.79762399,4.797,2,2,2,5,2,4,3,3
AT,Austria,46.79762399,4.797,2,6,5,6,2,5,2,1
AT,Austria,46.79762399,4.797,1,4,4,6,2,4,4,2
AT,Austria,46.79762399,4.797,6,2,2,3,4,3,3,2
AT,Austria,46.79762399,4.797,6,6,6,6,3,2,2,3
AT,Austria,46.79762399,4.797,3,3,3,6,3,4,2,2
AT,Austria,46.79762399,4.797,6,4,4,5,1,1,1,1
AT,Austria,46.79762399,4.797,4,4,5,5,3,4,3,3
AT,Austria,46.79762399,4.797,5,4,4,5,3,8,3,3
